qid,vid,duration_bin,audio_duration_sec,gt_duration_sec,query_slot,layer,raw_width_delta,pre_activation_width_logit,post_activation_width_norm,width_sec,width_gt_ratio,saturation_distance,abs_width_logit
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,299.0,4.0,7,layer1,-4.869236946105957,-3.2017791271209717,0.0390988253057003,11.69054876640439,2.9226371916010976,0.0390988253057003,3.2017791271209717
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,299.0,4.0,7,layer2,-1.7551442384719849,-3.3167295455932617,0.03500170260667801,10.465509079396725,2.616377269849181,0.03500170260667801,3.3167295455932617
-AheI8Epim4_2,-AheI8Epim4,20s+,83.0,23.0,4,layer1,-1.3075050115585327,-3.8322911262512207,0.02120072767138481,1.7596603967249393,0.07650697377064954,0.02120072767138481,3.8322911262512207
-AheI8Epim4_2,-AheI8Epim4,20s+,83.0,23.0,4,layer2,-1.0108634233474731,-4.33486795425415,0.012934120371937752,1.0735319908708334,0.0466753039509058,0.012934120371937752,4.33486795425415
-AheI8Epim4_2,-AheI8Epim4,20s+,83.0,23.0,7,layer1,-3.8771297931671143,-2.209671974182129,0.09888529777526855,8.20747971534729,0.35684694414553436,0.09888529777526855,2.209671974182129
-AheI8Epim4_2,-AheI8Epim4,20s+,83.0,23.0,7,layer2,-1.9596514701843262,-2.4164199829101562,0.08192913234233856,6.800117984414101,0.2956573036701783,0.08192913234233856,2.4164199829101562
-EaZ7EJJUl0_1,-EaZ7EJJUl0,20s+,299.0,35.0,0,layer1,-1.1367061138153076,-2.5910329818725586,0.06971775740385056,20.845609463751316,0.5955888418214662,0.06971775740385056,2.5910329818725586
-EaZ7EJJUl0_1,-EaZ7EJJUl0,20s+,299.0,35.0,0,layer2,-0.8583741784095764,-2.8332808017730713,0.05555201694369316,16.610053066164255,0.47457294474755013,0.05555201694369316,2.8332808017730713
-FW109cbv0g_1,-FW109cbv0g,2-5s,96.0,3.0,1,layer1,-2.166677713394165,-2.9078402519226074,0.05176734924316406,4.96966552734375,1.65655517578125,0.05176734924316406,2.9078402519226074
-FW109cbv0g_1,-FW109cbv0g,2-5s,96.0,3.0,1,layer2,-1.6103352308273315,-3.0833277702331543,0.0438002310693264,4.2048221826553345,1.4016073942184448,0.0438002310693264,3.0833277702331543
-FW109cbv0g_1,-FW109cbv0g,2-5s,96.0,3.0,8,layer1,-3.085771322250366,-2.9565589427948,0.04942742735147476,4.745033025741577,1.5816776752471924,0.04942742735147476,2.9565589427948
-FW109cbv0g_1,-FW109cbv0g,2-5s,96.0,3.0,8,layer2,-1.6992181539535522,-2.9934592247009277,0.04772224277257919,4.5813353061676025,1.5271117687225342,0.04772224277257919,2.9934592247009277
-FW109cbv0g_1,-FW109cbv0g,2-5s,96.0,3.0,9,layer1,-3.3651461601257324,-2.656381368637085,0.06559678167104721,6.297291040420532,2.0990970134735107,0.06559678167104721,2.656381368637085
-FW109cbv0g_1,-FW109cbv0g,2-5s,96.0,3.0,9,layer2,-1.7645212411880493,-3.169344425201416,0.04033578559756279,3.872235417366028,1.2907451391220093,0.04033578559756279,3.169344425201416
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,1,layer1,-2.4494214057922363,-3.1905839443206787,0.039521608501672745,3.7940744161605835,0.7588148832321167,0.039521608501672745,3.1905839443206787
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,1,layer2,-1.3033753633499146,-3.1518161296844482,0.04101977497339249,3.9378983974456787,0.7875796794891358,0.04101977497339249,3.1518161296844482
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,3,layer1,-3.1274688243865967,-3.1633760929107666,0.04056744650006294,3.8944748640060425,0.7788949728012085,0.04056744650006294,3.1633760929107666
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,3,layer2,-1.3270108699798584,-3.119436740875244,0.04231259226799011,4.062008857727051,0.8124017715454102,0.04231259226799011,3.119436740875244
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,5,layer1,-3.0389950275421143,-3.257420539855957,0.03706115111708641,3.5578705072402954,0.7115741014480591,0.03706115111708641,3.257420539855957
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,5,layer2,-1.366313099861145,-3.207334518432617,0.038890641182661057,3.7335015535354614,0.7467003107070923,0.038890641182661057,3.207334518432617
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,7,layer1,-4.869292736053467,-3.2018349170684814,0.03909672796726227,3.7532858848571777,0.7506571769714355,0.03909672796726227,3.2018349170684814
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,7,layer2,-1.3755635023117065,-3.131643295288086,0.0418207049369812,4.014787673950195,0.8029575347900391,0.0418207049369812,3.131643295288086
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,8,layer1,-3.324254274368286,-3.1950418949127197,0.03935272991657257,3.777862071990967,0.7555724143981933,0.03935272991657257,3.1950418949127197
-FW109cbv0g_2,-FW109cbv0g,5-10s,96.0,5.0,8,layer2,-1.4415587186813354,-3.1685080528259277,0.04036816954612732,3.8753442764282227,0.7750688552856445,0.04036816954612732,3.1685080528259277
-FW109cbv0g_3,-FW109cbv0g,2-5s,96.0,3.0,3,layer1,-3.466426134109497,-3.502333402633667,0.029245911166071892,2.8076074719429016,0.9358691573143005,0.029245911166071892,3.502333402633667
-FW109cbv0g_3,-FW109cbv0g,2-5s,96.0,3.0,3,layer2,-1.186947226524353,-3.4269471168518066,0.031463831663131714,3.0205278396606445,1.0068426132202148,0.031463831663131714,3.4269471168518066
-FW109cbv0g_3,-FW109cbv0g,2-5s,96.0,3.0,7,layer1,-5.106991767883301,-3.4395339488983154,0.03108251839876175,2.983921766281128,0.994640588760376,0.03108251839876175,3.4395339488983154
-FW109cbv0g_3,-FW109cbv0g,2-5s,96.0,3.0,7,layer2,-1.538706660270691,-3.4449172019958496,0.03092079982161522,2.968396782875061,0.989465594291687,0.03092079982161522,3.4449172019958496
-FW109cbv0g_4,-FW109cbv0g,2-5s,96.0,2.0,4,layer1,-0.34693437814712524,-2.871720314025879,0.05356936529278755,5.142659068107605,2.5713295340538025,0.05356936529278755,2.871720314025879
-FW109cbv0g_4,-FW109cbv0g,2-5s,96.0,2.0,4,layer2,-1.4210556745529175,-3.1148123741149902,0.04250037670135498,4.080036163330078,2.040018081665039,0.04250037670135498,3.1148123741149902
