split,qid,vid,gt_index,duration_bin,audio_duration_sec,gt_duration_sec,query_slot,pred_width_sec,width_gt_ratio,width_l1_loss_unweighted,giou_loss_unweighted,width_loss_weighted,width_coordinate_gradient_abs,width_head_output_gradient_abs,gradient_definition
train,-0awng26xQ8_1,-0awng26xQ8,0,10-20s,300.0,14.000000059604645,7,17.99662560224533,1.2854732518303682,0.01332208514213562,0.28721392154693604,0.42043477296829224,7.6938066482543945,0.43385453889410364,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-0awng26xQ8_2,-0awng26xQ8,0,5-10s,300.0,5.99999874830246,6,9.123891592025757,1.520648915903044,0.010412976145744324,1.1445460319519043,1.24867582321167,0.2891387939453125,0.008526131437614954,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-0awng26xQ8_3,-0awng26xQ8,0,5-10s,300.0,9.999999403953552,6,9.426510706543922,0.9426511268407778,0.0019116289913654327,0.37969231605529785,0.3988085985183716,14.75035285949707,0.4489178289593614,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-0awng26xQ8_4,-0awng26xQ8,0,10-20s,300.0,13.00000548362732,4,15.77528491616249,1.2134829432210978,0.009250931441783905,0.3562898635864258,0.448799192905426,6.947185039520264,0.34610303578339596,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-0awng26xQ8_4,-0awng26xQ8,1,10-20s,300.0,14.000000059604645,7,28.27814072370529,2.0198671859508446,0.04759380221366882,0.5049178600311279,0.9808558821678162,15.252277374267578,1.3021697857966301,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-2oPWkt1y_8_1,-2oPWkt1y_8,0,5-10s,300.0,9.000000357627869,9,10.404887795448303,1.1560985979994696,0.004682958126068115,0.14047056436538696,0.18730014562606812,7.9808502197265625,0.26719927757610457,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-2qHGzHjUOU_1,-2qHGzHjUOU,2,2-5s,94.0,2.9999996423721313,0,3.1631045192480087,1.0543682987731653,0.0017351582646369934,0.2911989092826843,0.30855047702789307,6.205284118652344,0.2017817060205489,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-2qHGzHjUOU_1,-2qHGzHjUOU,1,2-5s,94.0,2.9999996423721313,1,2.469233825802803,0.823078040052816,0.005646444857120514,0.4545183777809143,0.5109828114509583,16.036521911621094,0.41018879264619534,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-2qHGzHjUOU_1,-2qHGzHjUOU,3,0-2s,94.0,1.999999761581421,3,2.2854677885770798,1.1427340305130518,0.003036893904209137,0.7223373651504517,0.7527062892913818,0.12176513671875,0.0028885541507945515,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-2qHGzHjUOU_1,-2qHGzHjUOU,0,0-2s,94.0,1.999999761581421,6,2.6831905730068684,1.3415954464340742,0.007267987355589867,0.4715502858161926,0.5442301630973816,2.7667245864868164,0.07672068481096049,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
train,-2qHGzHjUOU_1,-2qHGzHjUOU,4,2-5s,94.0,2.9999996423721313,8,3.120936520397663,1.0403122974807777,0.0012865625321865082,0.13231432437896729,0.14517995715141296,8.102460861206055,0.2600818303146622,autograd of span_loss_coef*abs(width-target_width)+giou_loss_coef*(1-GIoU) with respect to final normalized pred width
