split,qid,vid,gt_index,duration_bin,audio_duration_sec,gt_duration_sec,assigned_query_slot,initial_width_norm,initial_width_sec,pred_center_norm,pred_width_norm,pred_center_sec,pred_width_sec,matched_center_error_sec,matched_width_gt_ratio,class_cost,span_l1_cost,giou_cost,total_cost,best_column_cost,second_best_column_cost,column_cost_margin,assigned_minus_best_cost,assigned_query_rank_for_target,num_gt_windows,counterfactual_definition,actual_total_cost,gt_width_total_cost,duration_matched_total_cost,actual_minus_gt_width_cost,actual_minus_duration_matched_cost,actual_width_l1_cost,gt_width_l1_cost,duration_matched_width_l1_cost,actual_giou_cost,gt_width_giou_cost,duration_matched_giou_cost,duration_matched_width_sec
train,-0awng26xQ8_1,-0awng26xQ8,0,10-20s,300.0,14.000000059604645,7,0.8412365913391113,252.3709774017334,0.20560906827449799,0.05998874455690384,61.682720482349396,17.99662336707115,2.6827204823493958,1.2854730921750703,-0.8465526700019836,0.02226448804140091,-0.7127864956855774,-3.876352295279503,-3.876352295279503,-1.8781461119651794,1.9982061833143234,0.0,1,1,same-center median GT width in the same GT-duration bin,-3.876352295279503,-4.386210680007935,-4.281448211272558,0.5098583847284317,0.40509591599305494,0.02226448804140091,0.0,0.003333333532015481,-0.7127864956855774,-1.0,-0.9285708665847778,13.0
train,-0awng26xQ8_2,-0awng26xQ8,0,5-10s,300.0,5.99999874830246,7,0.8412365913391113,252.3709774017334,0.23526471853256226,0.03132181987166405,70.57941555976868,9.396545961499214,2.4205844402313232,1.5660913202953113,-0.8123639225959778,0.019390445202589035,-0.5215691924095154,-3.577120430767536,-3.577120430767536,-3.163714960217476,0.41340547055006027,0.0,1,1,same-center median GT width in the same GT-duration bin,-3.577120430767536,-4.249455690383911,-4.2494548738002775,0.672335259616375,0.6723344430327414,0.019390445202589035,0.0,4.172325134693677e-09,-0.5215691924095154,-1.0,-0.9999992251396179,6.0
train,-0awng26xQ8_3,-0awng26xQ8,0,5-10s,300.0,9.999999403953552,6,0.8429434299468994,252.88302898406982,0.28241288661956787,0.03142170235514641,84.72386598587036,9.426510706543922,2.2761340141296387,0.9426511268407778,-0.8740437030792236,0.00949876382946968,-0.6203076839447021,-4.0214948579669,-4.0214948579669,-3.3811923675239086,0.6403024904429913,0.0,1,1,same-center median GT width in the same GT-duration bin,-4.0214948579669,-4.4961748123168945,-3.962841522693634,0.47467995434999466,-0.05865333527326566,0.00949876382946968,0.0,0.01333333134651184,-0.6203076839447021,-1.0,-0.6000000238418579,6.0
train,-0awng26xQ8_4,-0awng26xQ8,0,10-20s,300.0,13.00000548362732,4,0.07413875311613083,22.24162593483925,0.5948524475097656,0.05277783051133156,178.4557342529297,15.833349153399467,5.0442657470703125,1.2179494211245192,-0.873767077922821,0.026258710771799088,-0.4816007912158966,-3.71408199518919,-3.71408199518919,-2.4080012142658234,1.3060807809233665,0.0,1,2,same-center median GT width in the same GT-duration bin,-3.71408199518919,-4.495068311691284,-4.495068128903707,0.7809863165020943,0.7809861337145172,0.026258710771799088,0.0,1.8278757729639494e-08,-0.4816007912158966,-1.0,-1.0,13.0
train,-0awng26xQ8_4,-0awng26xQ8,1,10-20s,300.0,14.000000059604645,7,0.8412365913391113,252.3709774017334,0.1890939176082611,0.09981229156255722,56.72817528247833,29.943687468767166,2.2718247175216675,2.1388348100916197,-0.9549217224121094,0.060718365013599396,-0.46754440665245056,-3.680047646164894,-3.680047646164894,-2.4978807121515274,1.1821669340133667,0.0,1,2,same-center median GT width in the same GT-duration bin,-3.680047646164894,-4.8196868896484375,-4.714924420913061,1.1396392434835434,1.0348767747481666,0.060718365013599396,0.0,0.003333333532015481,-0.46754440665245056,-1.0,-0.9285708665847778,13.0
train,-2oPWkt1y_8_1,-2oPWkt1y_8,0,5-10s,300.0,9.000000357627869,9,0.6701281666755676,201.0384500026703,0.09744296967983246,0.03468291088938713,29.232890903949738,10.40487326681614,0.7328909039497375,1.156096983707071,-0.9800097346305847,0.007125880569219589,-0.8595365285873413,-4.708316661417484,-4.708316661417484,-0.0028900206089019775,4.705426640808582,0.0,1,1,same-center median GT width in the same GT-duration bin,-4.708316661417484,-4.920038938522339,-4.486705434322357,0.21172227710485458,-0.22161122709512693,0.007125880569219589,0.0,0.010000001192092895,-0.8595365285873413,-1.0,-0.6666665077209473,6.0
train,-2qHGzHjUOU_1,-2qHGzHjUOU,2,2-5s,94.0,2.9999996423721313,0,0.18933655321598053,17.79763600230217,0.6917566657066345,0.033650048077106476,65.02512657642365,3.1631045192480087,0.525126576423645,1.0543682987731653,-0.9493218064308167,0.00732160359621048,-0.7088037729263306,-4.432874962687492,-4.432874962687492,-3.235200095921755,1.1976748667657375,0.0,1,5,same-center median GT width in the same GT-duration bin,-4.432874962687492,-4.797287225723267,-4.797287187677749,0.36441226303577423,0.3644122249902564,0.00732160359621048,0.0,3.804551791664057e-09,-0.7088037729263306,-1.0,-1.0,3.0
train,-2qHGzHjUOU_1,-2qHGzHjUOU,1,2-5s,94.0,2.9999996423721313,1,0.3227500021457672,30.338500201702118,0.4074917435646057,0.02626848965883255,38.30422389507294,2.4692380279302597,0.804223895072937,0.8230794407621352,-0.9419700503349304,0.01420196145772934,-0.5454880595207214,-4.17134864628315,-4.17134864628315,-3.1201335564255714,1.0512150898575783,0.0,1,5,same-center median GT width in the same GT-duration bin,-4.17134864628315,-4.767880201339722,-4.767880163294204,0.596531555056572,0.5965315170110541,0.01420196145772934,0.0,3.804551791664057e-09,-0.5454880595207214,-1.0,-1.0,3.0
train,-2qHGzHjUOU_1,-2qHGzHjUOU,3,0-2s,94.0,1.999999761581421,3,0.4910241663455963,46.15627163648605,0.8533128499984741,0.024313483387231827,80.21140789985657,2.2854674383997917,1.2114078998565674,1.1427338554243869,-0.9386952519416809,0.01592418923974037,-0.27766475081443787,-3.873203866183758,-3.873203866183758,-1.5276171267032623,2.3455867394804955,0.0,1,5,same-center median GT width in the same GT-duration bin,-3.873203866183758,-4.754781007766724,-4.148400855825303,0.8815771415829659,0.27519698964154493,0.01592418923974037,0.0,0.010638295335972563,-0.27766475081443787,-1.0,-0.5000028014183044,1.0
train,-2qHGzHjUOU_1,-2qHGzHjUOU,0,0-2s,94.0,1.999999761581421,6,0.8429434299468994,79.23668241500854,0.2795490324497223,0.028544707223773003,26.277609050273895,2.6832024790346622,0.7223909497261047,1.3416013994486808,-0.9613379240036011,0.014953119680285454,-0.5284645557403564,-4.224285054951906,-4.224285054951906,-2.867085851728916,1.35719920322299,0.0,1,5,same-center median GT width in the same GT-duration bin,-4.224285054951906,-4.845351696014404,-4.238968742654679,0.6210666410624981,0.01468368770277273,0.014953119680285454,0.0,0.010638295335972563,-0.5284645557403564,-1.0,-0.5,1.0
