qid,vid,query,duration_bin,audio_duration_sec,gt_duration_sec,gt_width_norm,query_slot,initial_width_norm,initial_width_sec,pred_center_norm,pred_width_norm,pred_center_sec,pred_width_sec,center_error_sec,iou,width_gt_ratio,abs_log_width_gt_ratio,foreground_probability,center_le_1s,center_le_2s
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,0,0.18933655321598053,56.61162941157818,0.6808002591133118,0.04044944420456886,203.55927747488022,12.09438381716609,85.94072252511978,0.0,12.09438381716609,2.49274119751133,0.7283015847206116,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,1,0.3227500021457672,96.5022506415844,0.39638668298721313,0.036340560764074326,118.51961821317673,10.865827668458223,91.01961821317673,0.0,10.865827668458223,2.3856227882997385,0.849467933177948,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,2,0.5923634171485901,177.11666172742844,0.9789488911628723,0.02234680950641632,292.7057184576988,6.68169604241848,1.205718457698822,0.14966259968300563,6.68169604241848,1.899371853887409,0.01369795948266983,0,1
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,3,0.4910241663455963,146.8162257373333,0.8431820273399353,0.04903523251414299,252.11142617464066,14.661534521728754,37.388573825359344,0.0,14.661534521728754,2.6852273650411824,0.06343811005353928,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,4,0.07413876056671143,22.167489409446716,0.5904352068901062,0.03423969820141792,176.54012686014175,10.237669762223959,112.95987313985825,0.0,10.237669762223959,2.32607403143232,0.8902149200439453,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,5,0.4456096887588501,133.23729693889618,0.789061963558197,0.03607482090592384,235.9295271039009,10.78637145087123,53.57047289609909,0.0,10.78637145087123,2.3782834345634054,0.5937913656234741,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,6,0.8429434299468994,252.04008555412292,0.34489336609840393,0.03357316553592682,103.12311646342278,10.038376495242119,75.62311646342278,0.0,10.038376495242119,2.306415397526993,0.8720188736915588,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,7,0.8412365913391113,251.5297408103943,0.2388714700937271,0.032151903957128525,71.4225695580244,9.613419283181429,43.922569558024406,0.0,9.613419283181429,2.2631599644002205,0.9144452810287476,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,8,0.5322582125663757,159.14520555734634,0.49332842230796814,0.03587517887353897,147.50519827008247,10.726678483188152,120.00519827008247,0.0,10.726678483188152,2.3727339544978965,0.8413510322570801,0,0
--0w1YA1Hm4_1,--0w1YA1Hm4,A car horn blares,0-2s,299.0,1.0,0.0033444816053511705,9,0.6701281666755676,200.36832183599472,0.1030770093202591,0.03642035648226738,30.82002578675747,10.889686588197947,3.320025786757469,0.09183000740202961,10.889686588197947,2.3878161567509206,0.7427636981010437,0,0
